Age,Gender,Occupation,Monthly_Income,Shopping_Frequency,PB_Score,DP_Score,CS_Score,CR_Score,Retention_Class
18–25,Female,Student,"Below ₹15,000",Twice a Month,3.5,4.4,3.4285714285714284,4.142857142857143,High
Above 45,Male,Other,"₹30,001–₹50,000",Rarely,4.166666666666667,2.8,4.142857142857143,4.142857142857143,High
18–25,Female,Student,"Below ₹15,000",Weekly,2.0,2.2,1.4285714285714286,2.857142857142857,Low
18–25,Male,Student,"₹30,001–₹50,000",Occasionally,4.5,4.6,2.5714285714285716,2.5714285714285716,Low
18–25,Female,Student,"Below ₹15,000",Occasionally,4.0,4.0,4.571428571428571,4.285714285714286,High
18–25,Female,Student,"₹30,001–₹50,000",Weekly,4.333333333333333,4.2,4.142857142857143,4.142857142857143,High
18–25,Male,Student,"Below ₹15,000",Rarely,2.5,2.2,2.5714285714285716,2.2857142857142856,Low
26–35,Male,Student,"₹15,001–₹30,000",Occasionally,3.5,3.6,3.5714285714285716,3.857142857142857,High
Below 18,Female,Private Employee,"Below ₹15,000",Weekly,1.3333333333333333,1.2,1.0,1.7142857142857142,Low
18–25,Male,Student,"₹15,001–₹30,000",Weekly,4.166666666666667,3.8,3.7142857142857144,4.571428571428571,High
18–25,Male,Other,"₹30,001–₹50,000",Occasionally,2.8333333333333335,2.4,2.4285714285714284,3.4285714285714284,High
26–35,Female,Private Employee,"₹15,001–₹30,000",Rarely,3.6666666666666665,4.0,4.0,4.0,High
18–25,Female,Student,"Below ₹15,000",Rarely,3.8333333333333335,4.6,4.428571428571429,4.142857142857143,High
18–25,Male,Student,"Below ₹15,000",Rarely,4.0,4.2,4.0,4.0,High
26–35,Male,Private Employee,"₹15,001–₹30,000",Twice a Month,2.6666666666666665,2.6,2.5714285714285716,2.4285714285714284,Low
18–25,Male,Student,"₹15,001–₹30,000",Twice a Month,3.5,4.0,4.0,4.0,High
18–25,Female,Student,"Below ₹15,000",Twice a Month,4.0,4.0,5.0,3.857142857142857,High
Below 18,Female,Student,"Below ₹15,000",Rarely,2.6666666666666665,3.8,2.5714285714285716,2.142857142857143,Low
18–25,Male,Student,"₹15,001–₹30,000",Occasionally,2.3333333333333335,3.2,3.0,3.142857142857143,Low
